city,country,continent,visited,lat,lon
Buenos Aires,Argentina,South America,1,-34.60903,-58.37322
Adelaide,Australia,Australia,1,-34.928497,138.600739
Cairns,Australia,Australia,1,-16.92278,145.7703
Melbourne,Australia,Australia,1,-37.81534,144.96323
Sydney,Australia,Australia,1,-33.86882,151.20929
Bruges,Belgium,Europe,1,51.20942,3.2252
Brussels,Belgium,Europe,1,50.84554,4.35571
Florianopolis,Brazil,South America,1,-27.59487,-48.548219
Rio de Janeiro,Brazil,South America,1,-22.90145,-43.17892
Montreal,Canada,North America,1,45.501689,-73.567256
Toronto,Canada,North America,1,43.653226,-79.383184
Beijing,China,Asia,1,39.904202,116.407394
Hangzhou,China,Asia,1,30.25192,120.16807
Shanghai,China,Asia,1,31.218399,121.434563
Suzhou,China,Asia,1,31.30242,120.61807
Wuxi,China,Asia,1,31.491169,120.31191
Chinon,France,Europe,1,47.16619,0.23807
Paris,France,Europe,1,48.856613,2.352222
Pontorson,France,Europe,1,48.55361,-1.50452
Cancun,Mexico,North America,1,21.1734,-86.8281
Cozumel,Mexico,North America,1,20.5106,-86.94735
Isla Mujeres,Mexico,North America,1,21.23222,-86.73167
Mexico City,Mexico,North America,1,19.43268,-99.13421
Oaxaca,Mexico,North America,1,17.06187,-96.72459
Playa del Carmen,Mexico,North America,1,20.63727,-87.07
Puebla,Mexico,North America,1,19.04368,-98.19904
Ciudad del Este,Paraguay,South America,1,-23.236211,-58.391024
London,England,Europe,1,51.507351,-0.127758
Montevideo,Uruguay,South America,1,-34.90556,-56.18525
Albuquerque,USA,North America,1,35.085334,-106.605553
Ann Arbor,USA,North America,1,42.280826,-83.743038
Asheville,USA,North America,1,35.6009,-82.554
Atlantic City,USA,North America,1,39.3643,-74.4229
Bayfield,USA,North America,1,46.81225,-90.82217
Berkeley,USA,North America,1,37.871593,-122.272747
Boston,USA,North America,1,42.360082,-71.05888
Chapel Hill,USA,North America,1,35.9132,-79.0558
Charleston,USA,North America,1,32.79039,-79.93814
Charlotte,USA,North America,1,35.2271,-80.8431
Chicago,USA,North America,1,41.878114,-87.629798
Cincinnati,USA,North America,1,39.1031,-84.512
Cleveland,USA,North America,1,41.4993,-81.6944
Denver,USA,North America,1,39.739236,-104.990251
Detroit,USA,North America,1,42.331427,-83.045754
Green Bay,USA,North America,1,44.519159,-88.019826
Honolulu,USA,North America,1,21.306944,-157.858333
Indianapolis,USA,North America,1,39.7684,-86.1581
Jamestown,USA,North America,1,37.208268,-76.77409
Las Vegas,USA,North America,1,36.1699,-115.1398
Los Angeles,USA,North America,1,34.0522,-118.2437
Louisville,USA,North America,1,38.2527,-85.7585
Mackinac Island,USA,North America,1,45.8492,-84.6189
Madison,USA,North America,1,43.073052,-89.40123
Memphis,USA,North America,1,35.149,-90.0516
Miami,USA,North America,1,25.76168,-80.19179
Milwaukee,USA,North America,1,43.0389,-87.9065
Minneapolis,USA,North America,1,44.97749,-93.26437
Monterey,USA,North America,1,36.6002,-121.8947
Nashville,USA,North America,1,36.1627,-86.7816
New Orleans,USA,North America,1,29.9511,-90.0715
New York City,USA,North America,1,40.7128,-74.0059
Oakland,USA,North America,1,37.804364,-122.271114
Orlando,USA,North America,1,28.5383,-81.3792
Philadelphia,USA,North America,1,39.9526,-75.1652
Pittsburgh,USA,North America,1,40.4406,-79.9959
Richmond,USA,North America,1,37.540725,-77.436048
Saint Louis,USA,North America,1,38.627,-90.1994
San Antonio,USA,North America,1,29.4241219,-98.4936282
San Francisco,USA,North America,1,37.774929,-122.419416
San Jose,USA,North America,1,37.338208,-121.886329
Springfield,USA,North America,1,39.781721,-89.650148
Urbana-Champaign,USA,North America,1,40.1106,-88.2073
Washington D.C.,USA,North America,1,38.9072,-77.0369
Williamsburg,USA,North America,1,37.270702,-76.707457
Wilmington,USA,North America,1,34.225726,-77.94471
